,sepal width,petal length,petal width,type
0,3.5,3.903333333333333,0.2,Iris-setosa
1,3.0,1.5,0.2,Iris-setosa
2,3.6,1.4,0.2,Iris-setosa
3,3.0,1.62,0.4,Iris-setosa
4,3.4,1.5,0.2,Iris-setosa
5,2.9,1.4,0.2,Iris-setosa
6,3.0,1.59,0.2,Iris-setosa
7,3.0,1.4,0.1,Iris-setosa
8,3.0,1.1,0.9,Iris-setosa
9,3.0,1.2,0.9,Iris-setosa
10,3.9,1.3,1.1561224489795918,Iris-setosa
11,3.5,1.4,0.3,Iris-setosa
12,3.8,3.903333333333333,0.3,Iris-setosa
13,3.0,1.59,0.3,Iris-setosa
14,3.0,1.62,0.4,Iris-setosa
15,3.0,1.59,0.2,Iris-setosa
16,3.0,1.7,0.5,Iris-setosa
17,3.4,3.903333333333333,0.2,Iris-setosa
18,3.0,1.6,0.2,Iris-setosa
19,3.0,1.6,0.4,Iris-setosa
20,3.0,1.5,0.2,Iris-setosa
21,3.0,1.59,0.2,Iris-setosa
22,3.0,1.59,0.2,Iris-setosa
23,3.0,1.6,0.2,Iris-setosa
24,3.0,1.62,0.4,Iris-setosa
25,3.0,1.59,0.1,Iris-setosa
26,4.2,3.903333333333333,0.2,Iris-setosa
27,3.1,1.59,0.1,Iris-setosa
28,3.1,1.67,0.9,Iris-setosa
29,3.0,1.3,0.2,Iris-setosa
30,3.0,1.67,0.9,Iris-setosa
31,3.0,1.3,0.3,Iris-setosa
32,2.3,3.903333333333333,0.3,Iris-setosa
33,3.2,1.59,0.2,Iris-setosa
34,3.0,1.67,0.9,Iris-setosa
35,3.8,3.903333333333333,0.4,Iris-setosa
36,3.0,1.4,0.3,Iris-setosa
37,3.8,3.903333333333333,1.1561224489795918,Iris-setosa
38,3.0,1.59,0.2,Iris-setosa
39,3.0,1.5,0.9,Iris-setosa
40,3.0,1.59,0.2,Iris-setosa
41,3.0,4.7,1.4,Iris-versicolor
42,3.2,3.91,1.5,Iris-versicolor
43,3.1,3.91,1.5,Iris-versicolor
44,3.0,3.91,1.3,Iris-versicolor
45,3.0,3.91,1.5,Iris-versicolor
46,3.0,4.7,1.6,Iris-versicolor
47,2.4,3.903333333333333,1.1561224489795918,Iris-setosa
48,2.9,4.6,1.3,Iris-versicolor
49,2.7,3.9,1.4,Iris-versicolor
50,2.0,3.9,1.2,Iris-versicolor
51,3.0,3.91,1.5,Iris-versicolor
52,3.0,3.34,1.0,Iris-versicolor
53,2.9,4.7,1.4,Iris-versicolor
54,3.0,3.6,1.3,Iris-versicolor
55,3.0,3.91,1.4,Iris-versicolor
56,3.0,3.34,1.0,Iris-versicolor
57,3.0,3.91,1.5,Iris-versicolor
58,3.0,3.9,1.2,Iris-versicolor
59,3.0,4.0,1.3,Iris-versicolor
60,2.5,4.9,1.5,Iris-versicolor
61,3.0,4.7,1.2,Iris-versicolor
62,3.0,3.91,1.3,Iris-versicolor
63,3.0,4.4,1.4,Iris-versicolor
64,3.0,3.91,1.4,Iris-versicolor
65,3.0,3.91,1.5,Iris-versicolor
66,3.0,1.67,0.9,Iris-setosa
67,2.4,3.72,1.1,Iris-versicolor
68,3.0,3.7,1.0,Iris-versicolor
69,3.0,3.9,1.2,Iris-versicolor
70,3.0,3.91,1.6,Iris-versicolor
71,2.5,3.91,1.3,Iris-versicolor
72,3.0,4.4,1.2,Iris-versicolor
73,2.7,4.2,1.3,Iris-versicolor
74,3.0,4.2,1.2,Iris-versicolor
75,2.9,3.91,1.3,Iris-versicolor
76,2.8,4.1,1.3,Iris-versicolor
77,3.3,3.91,2.5,Iris-virginica
78,3.0,3.91,1.9,Iris-virginica
79,3.0,5.9,2.1,Iris-virginica
80,2.9,3.91,1.8,Iris-virginica
81,3.0,5.8,2.2,Iris-virginica
82,2.5,3.91,1.7,Iris-versicolor
83,3.0,6.3,1.8,Iris-virginica
84,3.0,6.1,1.2,Iris-virginica
85,2.7,3.91,1.9,Iris-virginica
86,3.0,3.91,2.1,Iris-virginica
87,3.0,3.91,2.0,Iris-virginica
88,3.0,5.3,1.2,Iris-virginica
89,3.0,3.91,1.8,Iris-virginica
90,3.0,6.7,2.2,Iris-virginica
91,3.0,6.9,2.3,Iris-virginica
92,3.0,5.0,1.5,Iris-versicolor
93,3.2,5.7,2.3,Iris-virginica
94,3.0,4.9,2.0,Iris-virginica
95,3.0,6.7,2.0,Iris-virginica
96,3.0,4.9,1.8,Iris-virginica
97,3.3,5.7,1.2,Iris-virginica
98,3.0,3.91,1.8,Iris-virginica
99,3.0,4.9,1.2,Iris-virginica
100,2.8,5.6,2.1,Iris-virginica
101,3.0,3.91,1.6,Iris-virginica
102,2.8,6.1,1.9,Iris-virginica
103,2.8,5.6,2.2,Iris-virginica
104,3.0,5.1,1.5,Iris-versicolor
105,3.0,5.6,1.4,Iris-virginica
106,3.0,6.1,2.3,Iris-virginica
107,3.1,3.9,1.2,Iris-virginica
108,2.7,3.91,1.9,Iris-virginica
109,3.0,1.67,0.9,Iris-setosa
110,3.0,5.0,1.9,Iris-virginica
111,3.0,5.2,2.0,Iris-virginica
112,3.0,3.91,1.8,Iris-versicolor
